statistics,team.id,team.name,team.logo
"[{'type': 'Shots on Goal', 'value': 5}, {'type': 'Shots off Goal', 'value': 7}, {'type': 'Total Shots', 'value': 14}, {'type': 'Blocked Shots', 'value': 2}, {'type': 'Shots insidebox', 'value': 7}, {'type': 'Shots outsidebox', 'value': 7}, {'type': 'Fouls', 'value': 12}, {'type': 'Corner Kicks', 'value': 7}, {'type': 'Offsides', 'value': 3}, {'type': 'Ball Possession', 'value': '55%'}, {'type': 'Yellow Cards', 'value': 2}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 2}, {'type': 'Total passes', 'value': 482}, {'type': 'Passes accurate', 'value': 408}, {'type': 'Passes %', 'value': '85%'}, {'type': 'expected_goals', 'value': '2.43'}, {'type': 'goals_prevented', 'value': 1}]",33,Manchester United,https://media.api-sports.io/football/teams/33.png
"[{'type': 'Shots on Goal', 'value': 2}, {'type': 'Shots off Goal', 'value': 4}, {'type': 'Total Shots', 'value': 10}, {'type': 'Blocked Shots', 'value': 4}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 4}, {'type': 'Fouls', 'value': 10}, {'type': 'Corner Kicks', 'value': 8}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '45%'}, {'type': 'Yellow Cards', 'value': 3}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 4}, {'type': 'Total passes', 'value': 384}, {'type': 'Passes accurate', 'value': 306}, {'type': 'Passes %', 'value': '80%'}, {'type': 'expected_goals', 'value': '0.44'}, {'type': 'goals_prevented', 'value': 1}]",36,Fulham,https://media.api-sports.io/football/teams/36.png
"[{'type': 'Shots on Goal', 'value': 2}, {'type': 'Shots off Goal', 'value': 2}, {'type': 'Total Shots', 'value': 7}, {'type': 'Blocked Shots', 'value': 3}, {'type': 'Shots insidebox', 'value': 5}, {'type': 'Shots outsidebox', 'value': 2}, {'type': 'Fouls', 'value': 9}, {'type': 'Corner Kicks', 'value': 2}, {'type': 'Offsides', 'value': 5}, {'type': 'Ball Possession', 'value': '38%'}, {'type': 'Yellow Cards', 'value': 3}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 347}, {'type': 'Passes accurate', 'value': 272}, {'type': 'Passes %', 'value': '78%'}, {'type': 'expected_goals', 'value': '0.45'}, {'type': 'goals_prevented', 'value': 0}]",57,Ipswich,https://media.api-sports.io/football/teams/57.png
"[{'type': 'Shots on Goal', 'value': 5}, {'type': 'Shots off Goal', 'value': 6}, {'type': 'Total Shots', 'value': 18}, {'type': 'Blocked Shots', 'value': 7}, {'type': 'Shots insidebox', 'value': 12}, {'type': 'Shots outsidebox', 'value': 6}, {'type': 'Fouls', 'value': 18}, {'type': 'Corner Kicks', 'value': 10}, {'type': 'Offsides', 'value': 0}, {'type': 'Ball Possession', 'value': '62%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 2}, {'type': 'Total passes', 'value': 570}, {'type': 'Passes accurate', 'value': 492}, {'type': 'Passes %', 'value': '86%'}, {'type': 'expected_goals', 'value': '2.65'}, {'type': 'goals_prevented', 'value': 0}]",40,Liverpool,https://media.api-sports.io/football/teams/40.png
"[{'type': 'Shots on Goal', 'value': 6}, {'type': 'Shots off Goal', 'value': 6}, {'type': 'Total Shots', 'value': 18}, {'type': 'Blocked Shots', 'value': 6}, {'type': 'Shots insidebox', 'value': 12}, {'type': 'Shots outsidebox', 'value': 6}, {'type': 'Fouls', 'value': 17}, {'type': 'Corner Kicks', 'value': 8}, {'type': 'Offsides', 'value': 0}, {'type': 'Ball Possession', 'value': '53%'}, {'type': 'Yellow Cards', 'value': 2}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 420}, {'type': 'Passes accurate', 'value': 357}, {'type': 'Passes %', 'value': '85%'}, {'type': 'expected_goals', 'value': '1.24'}, {'type': 'goals_prevented', 'value': 0}]",42,Arsenal,https://media.api-sports.io/football/teams/42.png
"[{'type': 'Shots on Goal', 'value': 3}, {'type': 'Shots off Goal', 'value': 5}, {'type': 'Total Shots', 'value': 9}, {'type': 'Blocked Shots', 'value': 1}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 3}, {'type': 'Fouls', 'value': 14}, {'type': 'Corner Kicks', 'value': 2}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '47%'}, {'type': 'Yellow Cards', 'value': 2}, {'type': 'Red Cards', 'value': None}, {'type': 'Goalkeeper Saves', 'value': 4}, {'type': 'Total passes', 'value': 375}, {'type': 'Passes accurate', 'value': 307}, {'type': 'Passes %', 'value': '82%'}, {'type': 'expected_goals', 'value': '0.47'}, {'type': 'goals_prevented', 'value': 0}]",39,Wolves,https://media.api-sports.io/football/teams/39.png
"[{'type': 'Shots on Goal', 'value': 1}, {'type': 'Shots off Goal', 'value': 4}, {'type': 'Total Shots', 'value': 9}, {'type': 'Blocked Shots', 'value': 4}, {'type': 'Shots insidebox', 'value': 6}, {'type': 'Shots outsidebox', 'value': 3}, {'type': 'Fouls', 'value': 8}, {'type': 'Corner Kicks', 'value': 1}, {'type': 'Offsides', 'value': 7}, {'type': 'Ball Possession', 'value': '38%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': 1}, {'type': 'Goalkeeper Saves', 'value': 2}, {'type': 'Total passes', 'value': 344}, {'type': 'Passes accurate', 'value': 266}, {'type': 'Passes %', 'value': '77%'}, {'type': 'expected_goals', 'value': '0.45'}, {'type': 'goals_prevented', 'value': 0}]",45,Everton,https://media.api-sports.io/football/teams/45.png
"[{'type': 'Shots on Goal', 'value': 5}, {'type': 'Shots off Goal', 'value': 3}, {'type': 'Total Shots', 'value': 10}, {'type': 'Blocked Shots', 'value': 2}, {'type': 'Shots insidebox', 'value': 9}, {'type': 'Shots outsidebox', 'value': 1}, {'type': 'Fouls', 'value': 8}, {'type': 'Corner Kicks', 'value': 5}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '62%'}, {'type': 'Yellow Cards', 'value': 1}, {'type': 'Red Cards', 'value': 0}, {'type': 'Goalkeeper Saves', 'value': 1}, {'type': 'Total passes', 'value': 575}, {'type': 'Passes accurate', 'value': 492}, {'type': 'Passes %', 'value': '86%'}, {'type': 'expected_goals', 'value': '1.43'}, {'type': 'goals_prevented', 'value': 0}]",51,Brighton,https://media.api-sports.io/football/teams/51.png
"[{'type': 'Shots on Goal', 'value': 1}, {'type': 'Shots off Goal', 'value': 0}, {'type': 'Total Shots', 'value': 3}, {'type': 'Blocked Shots', 'value': 2}, {'type': 'Shots insidebox', 'value': 3}, {'type': 'Shots outsidebox', 'value': 0}, {'type': 'Fouls', 'value': 15}, {'type': 'Corner Kicks', 'value': 3}, {'type': 'Offsides', 'value': 1}, {'type': 'Ball Possession', 'value': '22%'}, {'type': 'Yellow Cards', 'value': 2}, {'type': 'Red Cards', 'value': 1}, {'type': 'Goalkeeper Saves', 'value': 3}, {'type': 'Total passes', 'value': 181}, {'type': 'Passes accurate', 'value': 117}, {'type': 'Passes %', 'value': '65%'}, {'type': 'expected_goals', 'value': '0.25'}, {'type': 'goals_prevented', 'value': 0}]",34,Newcastle,https://media.api-sports.io/football/teams/34.png
"[{'type': 'Shots on Goal', 'value': 4}, {'type': 'Shots off Goal', 'value': 4}, {'type': 'Total Shots', 'value': 19}, {'type': 'Blocked Shots', 'value': 11}, {'type': 'Shots insidebox', 'value': 13}, {'type': 'Shots outsidebox', 'value': 6}, {'type': 'Fouls', 'value': 16}, {'type': 'Corner Kicks', 'value': 12}, {'type': 'Offsides', 'value': 2}, {'type': 'Ball Possession', 'value': '78%'}, {'type': 'Yellow Cards', 'value': 4}, {'type': 'Red Cards', 'value': 0}, {'type': 'Goalkeeper Saves', 'value': 0}, {'type': 'Total passes', 'value': 649}, {'type': 'Passes accurate', 'value': 579}, {'type': 'Passes %', 'value': '89%'}, {'type': 'expected_goals', 'value': '1.77'}, {'type': 'goals_prevented', 'value': 0}]",41,Southampton,https://media.api-sports.io/football/teams/41.png
