Fixture ID,Date,Status,Home Team,Away Team,Home Score,Away Score,League,Country
663684,2021-01-29T00:00:00+00:00,Match Finished,Panama,Serbia,0.0,0.0,Friendlies,World
714615,2021-01-29T00:00:00+00:00,Match Finished,Elman,Dekedaha,2.0,1.0,Somali Premier League,Somalia
658875,2021-01-29T00:10:00+00:00,Match Finished,Arsenal Sarandi,Huracan Las Heras,0.0,1.0,Copa Argentina,Argentina
653560,2021-01-29T01:00:00+00:00,Match Finished,Leones Negros UDG,Dorados,0.0,1.0,Liga de Expansión MX,Mexico
652833,2021-01-29T03:00:00+00:00,Match Finished,Tigres UANL,Necaxa,1.0,1.0,Liga MX,Mexico
651338,2021-01-29T07:00:00+00:00,Match Finished,Dire Dawa Kenema,Wolkite Ketema,1.0,3.0,Premier League,Ethiopia
648442,2021-01-29T08:05:00+00:00,Match Finished,Western Sydney Wanderers,Newcastle Jets,1.0,1.0,A-League,Australia
649360,2021-01-29T08:05:00+00:00,Match Finished,Adelaide United W,Melbourne Victory W,0.0,1.0,A-League Women,Australia
627347,2021-01-29T08:30:00+00:00,Match Cancelled,PS TIRA,Pusamania Borneo,,,Liga 1,Indonesia
651251,2021-01-29T08:30:00+00:00,Match Finished,Minerva Punjab,Sudeva,0.0,0.0,I-League,India
738510,2021-01-29T10:00:00+00:00,Match Finished,Concordia,Tunari,1.0,1.0,Friendlies Clubs,World
651252,2021-01-29T10:30:00+00:00,Match Finished,Chennai City,Indian Arrows,1.0,0.0,I-League,India
654410,2021-01-29T11:00:00+00:00,Match Finished,Belenenses U23,Leixões U23,1.0,1.0,Liga Revelação U23,Portugal
654411,2021-01-29T11:00:00+00:00,Match Finished,Marítimo U23,Sporting Braga U23,1.0,3.0,Liga Revelação U23,Portugal
627348,2021-01-29T11:15:00+00:00,Match Cancelled,PSM Makassar,Persebaya Surabaya,,,Liga 1,Indonesia
658464,2021-01-29T11:30:00+00:00,Match Finished,Nassaji Mazandaran,ZOB Ahan,2.0,3.0,Persian Gulf Pro League,Iran
658465,2021-01-29T11:30:00+00:00,Match Finished,Naft Masjed Soleyman,Esteghlal FC,1.0,1.0,Persian Gulf Pro League,Iran
658466,2021-01-29T11:30:00+00:00,Match Finished,Saipa,Gol Gohar,0.0,1.0,Persian Gulf Pro League,Iran
648717,2021-01-29T12:00:00+00:00,Match Finished,Wazito FC,Homeboyz,1.0,0.0,FKF Premier League,Kenya
651339,2021-01-29T12:00:00+00:00,Match Finished,Ethiopia Bunna,Bahardar,2.0,2.0,Premier League,Ethiopia
659309,2021-01-29T12:00:00+00:00,Match Finished,Tottenham Hotspur U23,Arsenal U23,1.0,1.0,Premier League 2 Division One,England
640424,2021-01-29T12:20:00+00:00,Match Finished,Al-Thuqbah,Al Taee,1.0,2.0,Division 1,Saudi-Arabia
640425,2021-01-29T12:20:00+00:00,Match Finished,Al Nahdha,Al Najoom,2.0,1.0,Division 1,Saudi-Arabia
657437,2021-01-29T12:30:00+00:00,Match Finished,Ceramica Cleopatra,El Gouna FC,2.0,1.0,Premier League,Egypt
